model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Fiesta,2018,14500,0,4806,2,145,55.4,1
 Focus,2017,12000,0,31070,0,150,74.3,1.5
 Focus,2017,11000,0,21582,0,0,74.3,1.5
 Fiesta,2018,12500,0,9288,2,145,56.5,1
 C-MAX,2017,12500,0,12928,2,30,55.4,1
 Kuga,2018,19991,1,23732,0,150,54.3,2
 Fiesta,2017,13491,0,7993,2,150,62.8,1
 Focus,2013,5700,1,61339,2,165,44.1,1.6
 B-MAX,2013,6787,1,22724,2,160,44.1,1.6
 Fiesta,2019,12347,0,8619,2,145,56.5,1
 Focus,2018,11000,0,10467,2,145,60.1,1
 B-MAX,2014,6791,1,19612,2,160,44.1,1.6
 Edge,2016,19991,0,30282,0,205,47.9,2
 Fiesta,2015,6991,0,51349,2,0,65.7,1
 Fiesta,2018,11387,0,21716,2,145,65.7,1
 Galaxy,2017,19000,0,25703,0,125,56.5,2
 Fiesta,2017,10500,1,16909,2,0,57.7,1
 Fiesta,2016,9495,0,14571,2,0,65.7,1
 Focus,2015,8400,0,43265,0,0,74.3,1.5
 B-MAX,2016,8495,0,5178,2,145,47.1,1.4
 B-MAX,2014,5988,0,45466,0,20,70.6,1.6
 Focus,2016,14747,0,22996,0,20,67.3,2
 Fiesta,2017,10120,0,8224,2,145,65.7,1
 Focus,2013,6190,0,47207,0,20,67.3,1.6
 C-MAX,2016,8430,0,29145,2,160,44.1,1.6
 Fiesta,2016,10137,0,22856,0,0,78.5,1.5
 KA,2016,5991,0,15084,2,30,57.7,1.2
 Fiesta,2017,10500,0,7003,2,0,65.7,1
 Mondeo,2016,17500,0,12450,0,30,62.8,2
 C-MAX,2019,16000,0,2237,2,145,48.7,1
 Kuga,2017,15000,1,29842,0,145,54.3,2
 C-MAX,2017,11000,0,12312,0,20,68.9,1.5
 Kuga,2019,19500,0,19026,0,145,47.9,2
 Fiesta,2019,14000,0,11884,2,145,58.9,1
 C-MAX,2017,10500,0,7519,0,20,68.9,1.5
 Focus,2017,12250,0,14554,0,145,74.3,1.5
 Fiesta,2018,15500,1,1178,2,145,48.7,1
 Ka+,2019,10550,0,10,2,145,47.9,1.2
 Fiesta,2017,7770,0,16105,2,125,54.3,1.2
 Fiesta,2015,7150,0,37388,2,0,65.7,1
 Fiesta,2017,10167,0,10042,2,145,62.8,1
 Focus,2019,17520,0,8,2,145,60.1,1
 EcoSport,2016,9990,1,17385,2,160,44.8,1.5
 Fiesta,2017,9130,0,19315,2,0,65.7,1
 Fiesta,2019,11640,0,13246,2,145,58.9,1
 Focus,2019,15991,0,12555,0,145,62.8,1.5
 Puma,2020,20891,0,3073,2,145,50.4,1
 Focus,2019,14791,0,12125,2,145,60.1,1
 Focus,2019,15291,0,13284,0,145,74.3,1.5
 Focus,2019,13991,0,11146,2,145,60.1,1
 Focus,2019,16110,0,16000,0,145,74.3,1.5
 Focus,2019,20170,0,100,2,145,60.1,1
 Fiesta,2019,13970,0,14000,2,145,56.5,1
 Ka+,2018,7600,0,11447,2,145,57.7,1.2
 Focus,2019,19291,2,10841,0,145,74.3,1.5
 Focus,2019,17410,0,9500,2,145,60.1,1
 Fiesta,2019,11250,0,15528,2,145,56.5,1
 Grand C-MAX,2015,8540,0,44142,0,125,60.1,1.6
 Grand C-MAX,2016,9491,1,37799,0,30,58.9,1.5
 Fiesta,2019,13230,0,6468,2,145,56.5,1
 Focus,2018,16690,0,19091,2,145,41.5,2
 Fiesta,2015,7995,0,36015,2,0,65.7,1
 Focus,2018,11750,0,17045,2,145,60.1,1
 Fiesta,2013,6995,0,30200,2,0,65.7,1
 Fiesta,2016,8295,0,29140,0,0,78.5,1.5
 Fiesta,2017,10280,0,15119,2,20,62.8,1
 Fiesta,2018,11450,0,12968,2,145,56.5,1
 Fiesta,2017,8491,0,29162,2,145,65.7,1
 EcoSport,2017,8891,0,30994,2,160,44.8,1.5
 Fiesta,2018,9791,0,16922,2,145,65.7,1
 Focus,2017,17291,0,17573,2,145,41.5,2
 Galaxy,2016,17590,0,33704,0,125,56.5,2
 Kuga,2019,20847,0,8526,0,145,47.9,2
 S-MAX,2017,16998,0,26635,0,125,56.5,2
 Grand C-MAX,2017,14498,0,7219,0,30,64.2,1.5
 B-MAX,2017,8998,0,24096,0,0,74.3,1.5
 EcoSport,2017,10998,0,5074,2,150,53.3,1
 EcoSport,2018,14998,0,4189,2,150,54.3,1
 C-MAX,2017,10298,0,24379,2,30,55.4,1
 Focus,2017,11998,0,18856,2,20,60.1,1
 Kuga,2017,16498,1,15365,0,150,54.3,2
 Kuga,2017,16498,2,8175,2,150,38.2,1.5
 Fiesta,2017,10498,0,14851,2,0,65.7,1
 Focus,2017,12997,1,14392,2,125,51.4,1
 Fiesta,2017,9077,0,17042,2,0,65.7,1
 Mondeo,2018,12890,0,27856,0,145,47.1,2
 B-MAX,2016,9380,1,10287,2,160,44.1,1.6
 Fiesta,2018,9617,0,37564,2,145,56.5,1
 Fiesta,2013,7547,0,22319,2,0,65.7,1
 Focus,2019,15580,0,9000,2,145,60.1,1
 Tourneo Connect,2019,19897,0,2991,0,145,61.4,1.5
 Grand C-MAX,2017,12444,0,17242,0,30,64.2,1.5
 C-MAX,2017,9697,0,7426,2,160,44.1,1.6
 Fiesta,2017,8491,0,26257,2,125,54.3,1.2
 Focus,2019,18991,2,3159,2,150,42.8,1
 Fiesta,2015,6891,0,34817,2,30,54.3,1.2
 Focus,2016,8491,0,32512,2,20,60.1,1
 Fiesta,2018,10291,0,2515,2,150,65.7,1
 EcoSport,2017,9691,0,33014,2,125,52.3,1
 Focus,2019,14250,0,4654,2,145,60.1,1
 Focus,2019,14590,0,3273,2,145,60.1,1
 Focus,2019,14310,0,9824,2,145,58.9,1
 Focus,2019,14300,0,8160,2,145,58.9,1
 Ka+,2019,11140,0,2200,2,145,43.5,1.2
 Fiesta,2017,9487,0,26700,2,145,65.7,1
 Focus,2019,16477,0,292,2,145,49.6,1
 Fiesta,2015,7591,0,33350,2,20,62.8,1
 KA,2015,4670,0,42429,2,30,57.7,1.2
 Focus,2017,16190,0,16519,2,145,41.5,2
 C-MAX,2013,5260,0,57669,0,30,61.4,1.6
 Fiesta,2017,8991,0,23225,0,145,88.3,1.5
 EcoSport,2018,11491,0,18947,2,145,54.3,1
 Kuga,2017,16291,1,31904,0,145,54.3,2
 Focus,2017,11000,0,17423,2,150,60.1,1
 Focus,2016,9455,0,18194,2,20,60.1,1
 C-MAX,2017,10908,1,22020,0,145,64.2,1.5
 Kuga,2016,12591,0,22437,0,125,60.1,2
 Tourneo Custom,2019,28995,2,4452,0,145,30.1,2
 Fiesta,2018,12500,0,4771,2,145,60.1,1
 Mondeo,2019,19000,0,4675,0,145,62.8,2
 Fiesta,2017,11000,0,9840,2,145,65.7,1
 C-MAX,2015,9000,0,29110,0,20,68.9,1.5
 Fiesta,2017,8800,0,17741,2,125,54.3,1.2
 Fiesta,2018,10000,0,16712,2,145,65.7,1
 Focus,2019,16498,2,13701,2,145,41.5,1
 Fiesta,2019,11498,0,1781,2,150,55.4,1.1
 Focus,2018,19498,0,20561,2,150,41.5,2
 Kuga,2019,19998,2,10505,2,150,28.8,1.5
 Focus,2017,12298,0,22163,0,145,74.3,1.5
 Focus,2016,14498,0,35074,0,20,67.3,2
 B-MAX,2015,7998,1,21453,2,165,44.1,1.6
 Fiesta,2018,11995,0,27143,2,145,65.7,1
 Mondeo,2018,16698,2,17765,2,145,43.5,1.5
 Kuga,2015,12300,0,40264,0,125,60.1,2
 B-MAX,2013,7140,0,34320,2,30,57.7,1
 Fiesta,2013,6150,0,59101,2,0,65.7,1
 Fiesta,2013,4640,0,79608,2,0,65.7,1
 Focus,2015,7600,1,31816,2,160,44.8,1.6
 Ka+,2017,6990,0,18093,2,145,57.7,1.2
 Edge,2017,19431,1,29826,0,160,48.7,2
 B-MAX,2017,9297,0,28636,2,30,57.7,1
 Fiesta,2017,12387,0,16990,2,145,47.9,1.6
 Kuga,2019,20847,0,10233,0,145,47.9,2
 Kuga,2019,20447,0,8605,0,145,47.9,2
 Kuga,2019,20847,0,6925,0,145,47.9,2
 Kuga,2019,20847,0,1915,0,145,47.9,2
 Kuga,2017,13000,0,23095,2,165,45.6,1.5
 Fiesta,2018,16500,0,10026,2,150,40.3,1.5
 Focus,2018,12500,0,27258,2,150,57.7,1
 Fiesta,2013,7500,0,34761,2,0,65.7,1
 Focus,2013,9998,0,51382,2,240,39.2,2
 Edge,2017,18998,1,41726,0,160,48.7,2
 Grand C-MAX,2013,6998,0,37522,0,125,60.1,1.6
 Focus,2016,15698,0,24432,0,20,67.3,2
 Fiesta,2019,13998,0,10305,2,145,58.9,1
 Kuga,2013,9498,0,58334,0,145,53.3,2
 Focus,2018,17500,0,26317,2,145,41.5,2
 Fiesta,2018,10700,0,32930,2,145,65.7,1
 Fiesta,2018,10700,0,31244,2,145,65.7,1
 Focus,2016,10400,0,24800,0,0,74.3,1.5
 Kuga,2019,19800,0,8496,0,145,45.6,1.5
 Fiesta,2018,11000,0,7433,2,145,64.2,1.1
 Fiesta,2018,11000,0,15000,2,145,65.7,1
 Kuga,2017,17500,0,16391,0,145,60.1,2
 Fiesta,2017,9800,0,14488,2,145,54.3,1.2
 Fiesta,2019,14800,0,13879,2,145,58.9,1
 Kuga,2018,17400,0,6063,0,145,47.9,2
 Fiesta,2018,10995,0,20055,0,150,88.3,1.5
 Fiesta,2018,10995,0,13176,2,145,65.7,1
 Focus,2019,17995,0,11485,0,150,74.3,1.5
 Kuga,2017,13155,0,41082,0,125,60.1,2
 Fiesta,2014,5999,0,26717,2,30,54.3,1.2
 Kuga,2017,15500,0,15000,0,145,60.1,2
 Fiesta,2017,10000,0,31788,2,145,65.7,1
 EcoSport,2017,10000,0,16810,2,145,44.8,1.5
 Ka+,2017,8400,0,11256,2,30,57.7,1.2
 Fiesta,2019,15000,0,6222,2,145,58.9,1
 Fiesta,2018,11500,0,19891,2,145,65.7,1
 EcoSport,2018,14900,1,4751,2,145,45.6,1
 Kuga,2017,14600,0,18533,0,145,54.3,2
 Kuga,2018,17700,0,16616,0,145,60.1,2
 Puma,2019,21000,0,300,2,145,50.4,1
 Mondeo,2019,19500,0,15,0,145,65.7,2
 Focus,2019,16300,0,5113,2,145,60.1,1
 Focus,2018,19000,0,14682,2,145,41.5,2
 Focus,2018,12200,0,13974,2,145,60.1,1
 Fiesta,2018,11200,0,12019,2,145,65.7,1
 C-MAX,2015,9900,0,15628,2,30,55.4,1
 Kuga,2017,15900,0,15557,0,145,60.1,2
 Fiesta,2018,9400,0,10584,2,145,64.2,1.1
 Fiesta,2018,11900,0,10549,2,145,65.7,1
 Fiesta,2018,9400,0,9682,2,145,64.2,1.1
 Fiesta,2018,11800,0,15997,2,145,65.7,1
 Focus,2018,12400,0,14992,2,145,60.1,1
 Focus,2017,14900,0,24277,0,20,67.3,2
 Ka+,2018,9400,0,3011,2,145,57.7,1.2
 Ka+,2018,9400,0,4934,2,145,57.7,1.2
 Ka+,2018,9400,0,6399,2,145,57.7,1.2
 Ka+,2018,9400,0,4763,2,145,57.7,1.2
 Fiesta,2018,10200,0,7883,2,145,55.4,1.1
 Focus,2018,17900,2,13340,2,145,47.9,1.5
 Focus,2019,18900,0,100,2,145,58.9,1
 Kuga,2018,18600,0,12947,0,145,60.1,2
 Focus,2018,17900,0,10586,2,145,41.5,2
 Kuga,2019,16900,0,16324,0,145,47.9,2
 Focus,2018,15500,0,14505,2,145,60.1,1
 Focus,2017,10500,0,19086,2,20,61.4,1
 Fiesta,2017,9000,0,26286,2,125,54.3,1.2
 Fiesta,2017,11500,0,23609,2,150,65.7,1
 Focus,2017,11000,0,16971,2,150,60.1,1
 Focus,2016,10500,0,23499,2,20,60.1,1
 EcoSport,2017,9800,0,26391,0,30,64.2,1.5
 Fiesta,2018,10000,0,12618,2,145,64.2,1.1
 Fiesta,2018,14000,0,16952,2,145,58.9,1
 Fiesta,2018,9700,0,30449,2,145,65.7,1
 Focus,2019,15300,0,11138,2,145,60.1,1
 Kuga,2018,18900,0,9435,0,145,54.3,1.5
 S-MAX,2019,28900,1,3676,0,145,51.4,2
 Focus,2018,10700,0,27733,2,145,60.1,1
 Fiesta,2018,12500,0,3638,2,145,61.4,1
 Fiesta,2016,9500,0,24256,2,0,65.7,1
 EcoSport,2018,15900,0,13286,2,145,54.3,1
 Fiesta,2018,10200,0,7471,2,145,64.2,1.1
 Fiesta,2018,12500,0,9102,2,145,65.7,1
 Focus,2017,11300,0,21874,2,145,60.1,1
 Kuga,2017,14900,0,8805,2,145,45.6,1.5
 Kuga,2018,19900,0,12548,0,145,47.9,2
 Fiesta,2018,11900,0,13374,2,145,58.9,1
 Fiesta,2019,13300,0,4350,2,145,56.5,1
 Focus,2019,20400,2,4365,0,145,49.6,2
 Focus,2018,11800,0,22076,2,145,60.1,1
 Fiesta,2017,7300,0,27243,2,145,54.3,1.2
 Focus,2015,13800,0,37344,0,20,67.3,2
 Focus,2017,16900,0,17735,0,145,67.3,2
 Focus,2017,16500,0,38565,0,145,67.3,2
 Grand C-MAX,2018,17900,1,180,0,145,51.4,1.5
 Fiesta,2018,9900,0,9430,2,145,64.2,1.1
 Fiesta,2018,9900,0,8255,2,145,64.2,1.1
 Kuga,2018,19400,0,9817,0,145,47.9,2
 Kuga,2018,17300,0,9127,0,145,47.9,2
 Fiesta,2018,9900,0,10121,2,145,64.2,1.1
 Kuga,2018,19400,0,6837,0,145,47.9,2
 Fiesta,2018,9800,0,11468,2,145,64.2,1.1
 C-MAX,2016,8700,0,27847,0,20,68.9,1.5
 Fiesta,2019,12600,0,10608,2,145,60.1,1
 Fiesta,2019,15900,0,4113,2,145,57.7,1
 Focus,2019,16200,0,8568,2,145,49.6,1
 Focus,2019,18900,0,9552,2,145,50.4,1.5
 Focus,2018,18500,0,14502,0,145,67.3,2
 Focus,2013,6698,1,32685,2,160,44.1,1.6
 Fiesta,2017,11990,0,19700,2,150,47.9,1.6
 Fiesta,2015,6990,0,31170,2,0,65.7,1
 Fiesta,2018,10200,0,4047,2,145,55.4,1.1
 Focus,2018,14500,0,6575,2,145,58.9,1
 Fiesta,2016,7200,0,20147,2,125,54.3,1.2
 Focus,2019,15400,0,7268,2,145,60.1,1
 Focus,2019,16900,0,9300,2,145,60.1,1
 Fiesta,2017,10500,0,8084,2,145,65.7,1
 EcoSport,2016,9900,0,30572,2,125,52.3,1
 C-MAX,2017,12800,1,2248,0,150,64.2,1.5
 KA,2014,4591,0,39987,2,30,57.7,1.2
 Kuga,2016,12491,1,53499,0,145,52.3,2
 Fiesta,2018,11291,0,12039,2,145,65.7,1
 Fiesta,2018,10991,0,19277,2,145,56.5,1
 Fiesta,2017,10491,0,21439,2,145,65.7,1
 Fiesta,2017,9495,0,24955,2,0,65.7,1
 Fiesta,2016,9495,0,18103,2,20,62.8,1
 Focus,2018,14795,0,15000,2,145,58.9,1
 Focus,2018,16495,0,15721,2,145,60.1,1
 Fiesta,2018,13995,0,6579,2,145,57.7,1
 Focus,2017,10795,0,18656,2,20,60.1,1
 Fiesta,2018,13995,0,28655,0,145,88.3,1.5
 Kuga,2019,21995,0,5590,0,145,47.9,2
 Fiesta,2019,19995,0,3514,2,145,40.3,1.5
 Focus,2019,19995,0,12544,2,145,60.1,1
 Kuga,2019,17900,0,6285,2,145,34.4,1.5
 Fiesta,2019,11300,0,8151,2,145,55.4,1.1
 Fiesta,2019,11300,0,7304,2,145,55.4,1.1
 Focus,2017,12900,0,14877,2,145,51.4,1.5
 S-MAX,2018,26900,2,9305,0,145,51.4,2
 Fiesta,2016,9800,0,24889,0,0,78.5,1.5
 Fiesta,2018,10800,0,6303,2,150,58.9,1
 Fiesta,2015,8400,0,16083,2,0,65.7,1
 Fiesta,2018,15900,0,7722,2,145,40.3,1.5
 Fiesta,2015,7438,0,19432,2,30,54.3,1.2
 B-MAX,2017,10228,0,22677,2,145,57.7,1
 Fiesta,2015,9000,0,6589,2,0,65.7,1
 Fiesta,2013,6491,0,51988,0,0,78.5,1.6
 Fiesta,2019,12900,0,9030,2,145,65.7,1
 Fiesta,2018,10600,0,8985,2,145,55.4,1.1
 Fiesta,2019,14600,0,8346,2,145,60.1,1
 Fiesta,2016,9800,0,16214,2,0,65.7,1
 Fiesta,2017,7900,0,13411,2,145,54.3,1.2
 B-MAX,2013,6200,0,47186,2,30,55.4,1
 Focus,2019,16600,0,5283,0,145,80.7,1.5
 Fiesta,2019,10600,0,10400,2,145,64.2,1.1
 Kuga,2019,17900,0,12812,0,145,47.9,2
 Fiesta,2017,8500,0,12224,2,145,54.3,1.2
 Fiesta,2018,11500,0,3362,2,150,65.7,1
 B-MAX,2015,7600,1,27439,2,165,44.1,1.6
 Fiesta,2014,7500,1,34000,2,0,57.7,1
 Kuga,2017,16500,0,13732,2,150,45.6,1.5
 Kuga,2017,18500,1,6183,0,150,58.9,1.5
 Kuga,2019,20000,0,3547,2,150,35.3,1.5
 Kuga,2017,17300,0,10871,0,125,60.1,2
 Kuga,2017,17000,0,4825,2,150,45.6,1.5
 Focus,2020,25500,2,4555,2,145,39.8,1.5
 Kuga,2016,11000,0,57740,0,125,60.1,2
 Fiesta,2019,12291,0,2031,2,145,58.9,1
 Kuga,2016,11111,0,37936,0,125,60.1,2
 Focus,2016,10300,0,23260,0,0,74.3,1.5
 Fiesta,2018,9270,0,58470,0,145,88.3,1.5
 Focus,2015,9250,0,54700,0,0,74.3,1.5
 Mondeo,2015,8470,0,73991,0,30,65.7,2
 Fiesta,2018,13495,0,6275,2,145,49.6,1
 Kuga,2017,14995,0,18387,0,145,54.3,2
 Fiesta,2018,8995,0,20120,2,145,64.2,1.1
 Kuga,2018,18495,0,8103,0,145,47.9,2
 Kuga,2014,11995,1,48461,0,200,45.6,2
 Kuga,2016,12995,0,29893,0,125,60.1,2
 Fiesta,2015,6795,0,42509,2,0,65.7,1
 Kuga,2017,13995,0,21590,0,150,60.1,2
 EcoSport,2019,13995,0,9644,2,150,53.3,1
 Focus,2015,8495,0,59865,0,0,74.3,1.5
 C-MAX,2017,12998,0,3438,0,150,68.9,1.5
 Fiesta,2017,7998,0,21050,2,145,54.3,1.2
 Fiesta,2017,10998,0,2033,2,0,65.7,1
 Focus,2018,18998,0,23335,2,145,41.5,2
 Focus,2017,9860,0,47267,0,145,74.3,1.5
 Focus,2015,6350,0,78968,0,0,74.3,1.5
 Fiesta,2015,8330,1,22453,2,145,47.9,1.6
 Fiesta,2017,8498,0,21632,2,145,54.3,1.2
 Focus,2015,7998,0,69433,0,0,74.3,1.5
 Mondeo,2016,9999,0,29729,0,0,78.5,1.5
 Fiesta,2017,7999,0,24000,2,145,64.2,1.1
 Focus,2016,8495,1,36325,2,125,51.4,1
 Fiesta,2017,7872,0,26864,2,0,65.7,1
 Fiesta,2016,8890,0,29580,2,0,65.7,1
 Fiesta,2015,9250,0,13437,2,0,65.7,1
 Fiesta,2017,9920,0,29609,2,20,62.8,1
 Fiesta,2017,12780,0,19109,2,145,47.9,1.6
 Focus,2017,11220,0,24000,2,150,58.9,1
 Fiesta,2016,9995,0,21428,2,20,62.8,1
 Focus,2019,15995,0,6855,2,145,60.1,1
 Focus,2017,10498,0,32873,0,145,74.3,1.5
 Focus,2018,19498,0,20781,2,145,41.5,2
 Fiesta,2019,13998,0,9832,2,145,58.9,1
 Focus,2019,15298,2,10493,2,145,48.7,1
 Fiesta,2017,11498,0,12999,2,0,65.7,1
 B-MAX,2017,10698,0,5436,2,150,55.4,1
 Mondeo,2017,10998,0,55764,0,20,67.3,2
 Fiesta,2017,9998,0,32336,0,0,78.5,1.5
 Kuga,2017,17000,0,28073,0,145,60.1,2
 Kuga,2018,14450,0,21604,0,145,64.2,1.5
 Ka+,2018,7800,0,2961,2,145,57.7,1.2
 Focus,2018,16999,0,10983,2,145,60.1,1
 Focus,2018,11000,0,18050,2,145,61.4,1
 Kuga,2018,14750,0,22984,0,145,64.2,1.5
 Kuga,2017,13100,0,5688,2,160,45.6,1.5
 Kuga,2017,14200,0,36944,0,145,64.2,1.5
 Fiesta,2019,13000,0,1687,2,150,48.7,1.1
 Fiesta,2018,14000,0,5151,2,150,58.9,1
 C-MAX,2017,11698,0,19608,0,20,68.9,1.5
 Kuga,2014,9999,0,44951,0,150,53.3,2
 Kuga,2015,9799,1,65000,0,150,52.3,2
 Fiesta,2018,11000,0,7452,2,145,65.7,1
 Fiesta,2018,11999,0,20675,2,145,65.7,1
 Kuga,2016,12500,0,24435,2,160,45.6,1.5
 B-MAX,2017,10500,1,7045,2,160,44.1,1.6
 Focus,2018,17000,0,12657,0,145,67.3,2
 Fiesta,2017,9000,0,38551,0,145,78.5,1.5
 Focus,2018,16200,0,19611,0,145,67.3,2
 Fiesta,2018,9500,0,20015,2,145,65.7,1
 Focus,2014,6670,0,38792,2,145,47.9,1.6
 Fiesta,2015,6990,0,26680,2,125,54.3,1.2
 Fiesta,2015,7950,0,16853,2,0,65.7,1
 Kuga,2017,16050,0,25370,0,145,60.1,2
 Fiesta,2015,6950,0,26850,2,125,54.3,1.2
 Fiesta,2014,6000,0,27617,2,30,54.3,1.2
 Fiesta,2013,5650,0,45270,2,30,54.3,1.2
 Fiesta,2017,8600,0,18850,2,0,65.7,1
 Fiesta,2014,6500,0,16180,2,30,54.3,1.2
 Fiesta,2017,11330,0,2690,2,145,65.7,1
 Focus,2013,6495,0,53707,0,20,67.3,1.6
 Kuga,2016,12795,1,52051,0,145,52.3,2
 Focus,2017,10695,0,18186,2,20,60.1,1
 Fiesta,2018,10495,0,15142,2,145,65.7,1
 Focus,2018,17495,0,8107,0,145,67.3,2
 Focus,2018,14295,0,5482,2,145,57.7,1
 Fiesta,2018,10295,0,13475,2,145,65.7,1
 Fiesta,2018,10695,0,9423,2,145,55.4,1.1
 Ka+,2019,10495,0,7902,2,145,43.5,1.2
 Fiesta,2018,11999,0,13550,2,145,65.7,1
 Focus,2018,12499,0,18053,2,145,57.7,1
 Fiesta,2018,12699,0,6694,2,145,62.8,1
 Focus,2018,15499,0,10000,2,145,60.1,1
 Fiesta,2019,19999,0,9000,2,145,40.3,1.5
 Fiesta,2015,7499,0,33034,2,0,65.7,1
 Focus,2018,14749,2,15452,0,145,67.3,1.5
 Focus,2018,14990,0,14482,0,145,74.3,1.5
 Focus,2017,25990,0,13626,2,145,36.7,2.3
 Fiesta,2017,8290,0,29274,2,0,65.7,1
 Fiesta,2017,11495,0,20050,2,145,47.9,1.6
 Tourneo Custom,2019,29500,0,10450,0,145,31.7,2
 Kuga,2019,23649,1,15606,0,145,38.7,2
 S-MAX,2019,29499,1,8998,0,145,51.4,2
 Fiesta,2017,12699,0,25082,2,145,47.9,1.6
 Focus,2017,16999,0,26592,2,200,41.5,2
 Focus,2018,20499,0,4391,2,145,41.5,2
 Fiesta,2015,8299,0,25935,2,0,65.7,1
 Fiesta,2017,9499,0,12914,2,125,54.3,1.2
 Fiesta,2013,8699,1,29225,2,145,47.9,1.6
 Fiesta,2018,12499,0,8700,2,145,58.9,1
 Focus,2018,13499,0,11524,2,145,57.7,1
 Fiesta,2018,14799,0,6300,2,145,55.4,1
 Focus,2017,10999,0,24334,2,20,60.1,1
 Focus,2019,17499,0,8836,2,145,60.1,1
 Fiesta,2019,14499,0,7000,2,145,55.4,1
 Focus,2019,18999,0,4000,2,145,60.1,1
 Focus,2019,18999,0,8000,2,145,49.6,1
 Fiesta,2017,13650,0,13495,2,145,47.9,1.6
 Fiesta,2018,10999,0,21236,2,145,62.8,1
 B-MAX,2014,6999,0,43738,2,30,55.4,1
 Fiesta,2014,7499,0,45782,2,0,65.7,1
 Fiesta,2018,14499,1,7490,2,145,48.7,1
 Kuga,2016,15499,0,7588,0,125,60.1,2
 Fiesta,2017,13499,0,20455,2,145,62.8,1
 Fiesta,2017,10999,0,9289,2,145,65.7,1
 Fiesta,2014,7499,0,41874,2,0,65.7,1
 Fiesta,2016,7699,0,55092,2,0,65.7,1
 Kuga,2019,23499,1,10105,0,150,42.2,2
 Kuga,2019,18999,0,9300,0,145,38.2,2
 Fiesta,2018,13499,0,8230,2,145,65.7,1
 Fiesta,2014,7869,0,55186,2,145,47.9,1.6
 Puma,2020,23499,0,1850,2,145,49.6,1
 Focus,2020,26723,0,2102,2,145,34.5,2.3
 Focus,2015,11350,0,67588,0,20,67.3,2
 Fiesta,2013,7699,0,49549,2,0,65.7,1
 Focus,2017,14999,1,11882,0,145,64.2,2
 Focus,2019,15799,0,7462,2,145,58.9,1
 Fiesta,2017,10499,0,11825,2,145,65.7,1
 Fiesta,2016,15717,0,11866,2,145,46.3,1.6
 Fiesta,2018,10285,0,12786,2,145,65.7,1
 Focus,2019,16938,0,4833,2,145,60.1,1
 Fiesta,2018,11110,0,18447,2,145,65.7,1
 Fiesta,2017,9967,0,13117,2,20,62.8,1
 Fiesta,2016,9946,0,14284,2,20,62.8,1
 Focus,2017,17503,0,22789,2,145,41.5,2
 Focus,2018,18947,0,9615,2,145,41.5,2
 Focus,2018,11704,0,13878,0,145,74.3,1.5
 Fiesta,2017,12999,0,26736,2,145,47.9,1.6
 Kuga,2017,17999,0,13222,0,125,60.1,2
 Fiesta,2017,9999,0,40341,2,145,62.8,1
 Fiesta,2015,7320,0,30799,2,0,65.7,1
 Focus,2018,13499,0,16392,2,145,57.7,1
 Fiesta,2018,10499,0,17130,2,145,65.7,1
 Fiesta,2017,9499,0,27891,0,145,88.3,1.5
 Fiesta,2018,14999,0,15954,2,145,40.3,1.5
 Fiesta,2018,11499,0,11434,2,145,65.7,1
 Kuga,2017,15999,0,49455,0,145,54.3,2
 Fiesta,2018,11499,0,16905,2,145,65.7,1
 Kuga,2018,17999,0,6556,2,145,39.2,1.5
 Fiesta,2018,10892,0,14548,2,145,65.7,1
 Fiesta,2019,13999,0,16342,2,150,58.9,1
 Fiesta,2019,16499,0,7991,2,150,40.3,1.5
 Fiesta,2015,7999,0,21696,2,0,65.7,1
 Focus,2017,18499,0,13063,2,145,41.5,2
 Tourneo Custom,2018,19995,0,2500,0,145,32.5,2
 Tourneo Custom,2017,17995,0,33650,0,235,44.1,2
 Fiesta,2017,8999,0,23870,2,145,64.2,1.1
 Fiesta,2015,7999,0,62727,2,0,65.7,1
 Kuga,2018,16499,0,6687,0,145,54.3,1.5
 S-MAX,2016,18999,1,35196,0,160,51.4,2
 Fiesta,2018,10773,0,3997,2,145,65.7,1
 Kuga,2017,18999,0,15517,0,145,60.1,2
 Fiesta,2016,8966,0,12123,2,0,65.7,1
 EcoSport,2017,8954,0,34880,0,145,64.2,1.5
 Fiesta,2017,12999,0,32624,2,145,47.9,1.6
 EcoSport,2017,9615,0,19347,2,145,52.3,1
 Fiesta,2017,9499,0,12954,2,145,64.2,1.1
 Ka+,2018,8407,0,14148,2,145,47.9,1.2
 Fiesta,2017,9460,0,23671,2,0,65.7,1
 Fiesta,2015,8240,0,33462,2,20,62.8,1
 Fiesta,2018,10390,0,23345,2,145,62.8,1
 Kuga,2018,17500,0,12540,0,145,47.9,2
 Fiesta,2013,6260,0,33550,0,0,76.4,1.5
 Kuga,2018,17050,0,11950,2,145,39.2,1.5
 C-MAX,2016,9567,0,32107,0,20,68.9,1.5
 Fiesta,2017,12399,0,14860,2,145,47.9,1.6
 Ka+,2017,7999,0,12405,2,30,57.7,1.2
 Focus,2017,10999,0,17918,2,150,60.1,1
 Ka+,2017,7299,0,14401,2,150,57.7,1.2
 Focus,2018,12499,0,26100,0,150,74.3,1.5
 Mondeo,2016,9599,0,75309,0,30,64.2,2
 EcoSport,2019,14999,0,5899,2,145,51.4,1
 Fiesta,2018,9999,0,24975,2,145,64.2,1.1
 Mondeo,2016,9999,0,77663,0,30,64.2,2
